"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrator\Documents\vertexai\Controller\exemplovalido.js", "JavaScript", -91, -7, -21, -119
"c:\Users\Administrator\Documents\vertexai\Controller\helloWord.js", "JavaScript", -4, 0, -1, -5
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerReceived.js", "JavaScript", -57, -1, -16, -74
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerSent.js", "JavaScript", -30, -3, -8, -41
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\ServicesOpenAiAbordagem\openAiServicesAbordagem.js", "JavaScript", 70, 3, 9, 82
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeAbordagem.js", "JavaScript", 24, 0, 7, 31
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeAtedimentoInicial.js", "JavaScript", 7, 0, 5, 12
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeRedirecionamentoDeAbordagem.js", "JavaScript", 7, 0, 4, 11
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeReinicioAtendimento.js", "JavaScript", 8, 2, 5, 15
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDeEntrega\agenteDeEntrega.js", "JavaScript", 92, 3, 11, 106
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDeEntrega\rotinaDeEntrega.js", "JavaScript", 7, 0, 3, 10
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteCartao.js", "JavaScript", 46, 3, 10, 59
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteDePagemento.js", "JavaScript", 86, 2, 16, 104
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteExplicacaoBoleto.js", "JavaScript", 73, 3, 15, 91
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agentePix.js", "JavaScript", 47, 1, 10, 58
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\explicacaoBoleto.js", "JavaScript", 24, 1, 6, 31
